iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
DEU,Europe,Germany,2020-02-12,16.0,0.0,0.571,,,0.0,0.191,0.0,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-13,16.0,0.0,0.571,,,0.0,0.191,0.0,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-14,16.0,0.0,0.429,,,0.0,0.191,0.0,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-15,16.0,0.0,0.429,,,0.0,0.191,0.0,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-16,16.0,0.0,0.286,,,0.0,0.191,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-8363.3,-5.85,-8.24,-99.6812044118322
DEU,Europe,Germany,2020-02-17,16.0,0.0,0.286,,,0.0,0.191,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-18,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-19,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-20,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-21,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-22,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-23,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-11277.2,-6.84,-13.33,-134.411641145614
DEU,Europe,Germany,2020-02-24,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-25,17.0,1.0,0.143,,,0.0,0.203,0.012,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-26,27.0,10.0,1.571,,,0.0,0.322,0.119,0.019,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-27,46.0,19.0,4.286,,,0.0,0.548,0.226,0.051,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-28,48.0,2.0,4.571,,,0.0,0.572,0.024,0.054,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-02-29,79.0,31.0,9.0,,,0.0,0.942,0.369,0.107,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-01,130.0,51.0,16.286,,,0.0,1.549,0.608,0.194,,,0.0,,,,,,,,24.0,0.286,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-14146.5,-7.56,-12.82,-168.610495643106
DEU,Europe,Germany,2020-03-02,159.0,29.0,20.429,,,0.0,1.895,0.346,0.243,,,0.0,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-03,196.0,37.0,25.571,,,0.0,2.336,0.441,0.305,,,0.0,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-04,262.0,66.0,33.571,,,0.0,3.123,0.787,0.4,,,0.0,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-05,482.0,220.0,62.286,,,0.0,5.745,2.622,0.742,,,0.0,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-06,670.0,188.0,88.857,,,0.0,7.986,2.241,1.059,,,0.0,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-07,799.0,129.0,102.857,,,0.0,9.523,1.538,1.226,,,0.0,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-08,1040.0,241.0,130.0,,,0.0,12.396,2.872,1.549,,,0.0,2.98,,,,,,,149.0,1.776,,,,,,,,,,,,,,,,,,,,,,,25.0,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-16342.4,-7.82,-10.04,-194.783173505665
DEU,Europe,Germany,2020-03-09,1176.0,136.0,145.286,2.0,2.0,0.286,14.017,1.621,1.732,0.024,0.024,0.003,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-10,1457.0,281.0,180.143,2.0,0.0,0.286,17.366,3.349,2.147,0.024,0.0,0.003,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-11,1908.0,451.0,235.143,3.0,1.0,0.429,22.741,5.375,2.803,0.036,0.012,0.005,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-12,2078.0,170.0,228.0,3.0,0.0,0.429,24.767,2.026,2.718,0.036,0.0,0.005,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-13,3675.0,1597.0,429.286,7.0,4.0,1.0,43.802,19.034,5.117,0.083,0.048,0.012,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-14,4585.0,910.0,540.857,9.0,2.0,1.286,54.648,10.846,6.446,0.107,0.024,0.015,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-15,5795.0,1210.0,679.286,11.0,2.0,1.571,69.07,14.422,8.096,0.131,0.024,0.019,2.91,,,,,,,450.0,5.363,,129291.0,1.541,,,,0.058,17.2,tests performed,,,,,,,,,,,,,,32.87,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-17429.1,-7.58,-5.19,-207.73542498945
DEU,Europe,Germany,2020-03-16,7272.0,1477.0,870.857,17.0,6.0,2.143,86.674,17.604,10.38,0.203,0.072,0.026,2.83,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,42.13,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-17,9257.0,1985.0,1114.286,24.0,7.0,3.143,110.333,23.659,13.281,0.286,0.083,0.037,2.73,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,42.13,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-18,12327.0,3070.0,1488.429,28.0,4.0,3.571,146.924,36.591,17.74,0.334,0.048,0.043,2.62,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,52.31,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-19,15320.0,2993.0,1891.714,44.0,16.0,5.857,182.597,35.673,22.547,0.524,0.191,0.07,2.48,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,55.09,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-20,19848.0,4528.0,2310.429,67.0,23.0,8.571,236.566,53.969,27.538,0.799,0.274,0.102,2.35,200.0,2.384,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,57.87,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-21,22213.0,2365.0,2518.286,84.0,17.0,10.714,264.754,28.188,30.015,1.001,0.203,0.128,2.24,308.0,3.671,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,68.06,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-22,24873.0,2660.0,2725.429,94.0,10.0,11.857,296.458,31.704,32.484,1.12,0.119,0.141,2.14,364.0,4.338,,,,,2017.0,24.04,,503825.0,6.005,,53505.0,0.638,0.069,14.5,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-17779.2,-7.11,-1.74,-211.908226355487
DEU,Europe,Germany,2020-03-23,29056.0,4183.0,3112.0,123.0,29.0,15.143,346.315,49.857,37.092,1.466,0.346,0.18,2.07,451.0,5.375,,,,,,,,,,,53567.0,0.638,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-24,32986.0,3930.0,3389.857,157.0,34.0,19.0,393.156,46.841,40.403,1.871,0.405,0.226,1.97,616.0,7.342,,,,,,,,,,,53630.0,0.639,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-25,37323.0,4337.0,3570.857,206.0,49.0,25.429,444.849,51.692,42.561,2.455,0.584,0.303,1.88,789.0,9.404,,,,,,,,,,,53693.0,0.64,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-26,43938.0,6615.0,4088.286,267.0,61.0,31.857,523.692,78.843,48.728,3.182,0.727,0.38,1.8,824.0,9.821,,,,,,,,,,,53755.0,0.641,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-27,50871.0,6933.0,4431.857,342.0,75.0,39.286,606.326,82.634,52.823,4.076,0.894,0.468,1.71,905.0,10.787,,,,,,,,,,,53818.0,0.641,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-28,57695.0,6824.0,5068.857,433.0,91.0,49.857,687.66,81.334,60.415,5.161,1.085,0.594,1.65,1001.0,11.931,,,,,,,,,,,53880.0,0.642,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-29,62095.0,4400.0,5317.429,533.0,100.0,62.714,740.103,52.443,63.378,6.353,1.192,0.747,1.56,1063.0,12.67,,,,,4862.0,57.95,,881424.0,10.506,,53943.0,0.643,0.088,11.4,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-17504.1,-6.5,1.42,-208.629341306082
DEU,Europe,Germany,2020-03-30,66885.0,4790.0,5404.143,645.0,112.0,74.571,797.195,57.091,64.411,7.688,1.335,0.889,1.48,1203.0,14.338,,,,,,,,,,,54760.0,0.653,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-03-31,71808.0,4923.0,5546.0,775.0,130.0,88.286,855.871,58.677,66.102,9.237,1.549,1.052,1.41,1550.0,18.474,,,,,,,,,,,55577.0,0.662,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-01,77872.0,6064.0,5792.714,920.0,145.0,102.0,928.147,72.276,69.043,10.965,1.728,1.216,1.33,1784.0,21.263,,,,,,,,,,,56395.0,0.672,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-02,84794.0,6922.0,5836.571,1107.0,187.0,120.0,1010.65,82.503,69.565,13.194,2.229,1.43,1.26,2102.0,25.053,,,,,,,,,,,57212.0,0.682,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-03,91159.0,6365.0,5755.429,1275.0,168.0,133.286,1086.514,75.864,68.598,15.197,2.002,1.589,1.19,2361.0,28.14,,,,,,,,,,,58029.0,0.692,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-04,96092.0,4933.0,5485.286,1444.0,169.0,144.429,1145.309,58.796,65.378,17.211,2.014,1.721,1.15,2471.0,29.452,,,,,,,,,,,58846.0,0.701,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-05,100123.0,4031.0,5432.571,1584.0,140.0,150.143,1193.354,48.045,64.75,18.88,1.669,1.79,1.1,2528.0,30.131,,,,,6235.0,74.314,,1299070.0,15.483,,59664.0,0.711,0.09,11.1,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,-15790.4,-5.48,9.04,-188.203949415254
DEU,Europe,Germany,2020-04-06,103374.0,3251.0,5212.714,1810.0,226.0,166.429,1232.103,38.748,62.13,21.573,2.694,1.984,1.06,2551.0,30.405,,,,,,,,,,,58971.0,0.703,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-07,107663.0,4289.0,5122.143,2016.0,206.0,177.286,1283.223,51.12,61.05,24.028,2.455,2.113,1.01,2641.0,31.478,,,,,,,,,,,58278.0,0.695,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-08,113296.0,5633.0,5060.571,2349.0,333.0,204.143,1350.362,67.139,60.316,27.997,3.969,2.433,0.96,2654.0,31.633,,,,,,,,,,,57585.0,0.686,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-09,118181.0,4885.0,4769.571,2607.0,258.0,214.286,1408.586,58.224,56.848,31.073,3.075,2.554,0.91,2714.0,32.348,,,,,,,,,,,56892.0,0.678,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
DEU,Europe,Germany,2020-04-10,122171.0,3990.0,4430.286,2767.0,160.0,213.143,1456.142,47.556,52.804,32.98,1.907,2.54,0.87,2702.0,32.205,,,,,,,,,,,56199.0,0.67,,,tests performed,,,,,,,,,,,,,,76.85,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
