Unnamed: 0,data_version,target,date,location,type,quantile,value
63,2020-09-21,4 day R,2020-05-08,DE,point,,0.92
64,2020-09-21,4 day R,2020-05-09,DE,point,,0.85
65,2020-09-21,4 day R,2020-05-10,DE,point,,0.79
66,2020-09-21,4 day R,2020-05-11,DE,point,,0.79
67,2020-09-21,4 day R,2020-05-12,DE,point,,0.83
68,2020-09-21,4 day R,2020-05-13,DE,point,,0.9
69,2020-09-21,4 day R,2020-05-14,DE,point,,0.95
70,2020-09-21,4 day R,2020-05-15,DE,point,,0.97
71,2020-09-21,4 day R,2020-05-16,DE,point,,0.96
72,2020-09-21,4 day R,2020-05-17,DE,point,,0.91
73,2020-09-21,4 day R,2020-05-18,DE,point,,0.96
74,2020-09-21,4 day R,2020-05-19,DE,point,,0.87
75,2020-09-21,4 day R,2020-05-20,DE,point,,0.89
76,2020-09-21,4 day R,2020-05-21,DE,point,,0.92
77,2020-09-21,4 day R,2020-05-22,DE,point,,0.79
78,2020-09-21,4 day R,2020-05-23,DE,point,,0.82
79,2020-09-21,4 day R,2020-05-24,DE,point,,0.72
80,2020-09-21,4 day R,2020-05-25,DE,point,,0.78
81,2020-09-21,4 day R,2020-05-26,DE,point,,0.91
82,2020-09-21,4 day R,2020-05-27,DE,point,,1.01
83,2020-09-21,4 day R,2020-05-28,DE,point,,1.14
84,2020-09-21,4 day R,2020-05-29,DE,point,,1.01
85,2020-09-21,4 day R,2020-05-30,DE,point,,0.9
86,2020-09-21,4 day R,2020-05-31,DE,point,,0.75
87,2020-09-21,4 day R,2020-06-01,DE,point,,0.71
88,2020-09-21,4 day R,2020-06-02,DE,point,,0.82
89,2020-09-21,4 day R,2020-06-03,DE,point,,0.97
90,2020-09-21,4 day R,2020-06-04,DE,point,,1.17
91,2020-09-21,4 day R,2020-06-05,DE,point,,1.22
92,2020-09-21,4 day R,2020-06-06,DE,point,,1.03
93,2020-09-21,4 day R,2020-06-07,DE,point,,0.84
94,2020-09-21,4 day R,2020-06-08,DE,point,,0.84
95,2020-09-21,4 day R,2020-06-09,DE,point,,0.93
96,2020-09-21,4 day R,2020-06-10,DE,point,,1.13
97,2020-09-21,4 day R,2020-06-11,DE,point,,1.39
98,2020-09-21,4 day R,2020-06-12,DE,point,,1.28
99,2020-09-21,4 day R,2020-06-13,DE,point,,1.1
100,2020-09-21,4 day R,2020-06-14,DE,point,,0.96
101,2020-09-21,4 day R,2020-06-15,DE,point,,1.04
102,2020-09-21,4 day R,2020-06-16,DE,point,,1.53
103,2020-09-21,4 day R,2020-06-17,DE,point,,1.8
104,2020-09-21,4 day R,2020-06-18,DE,point,,2.02
105,2020-09-21,4 day R,2020-06-19,DE,point,,1.66
106,2020-09-21,4 day R,2020-06-20,DE,point,,0.9
107,2020-09-21,4 day R,2020-06-21,DE,point,,0.7
108,2020-09-21,4 day R,2020-06-22,DE,point,,0.64
109,2020-09-21,4 day R,2020-06-23,DE,point,,0.6
110,2020-09-21,4 day R,2020-06-24,DE,point,,0.77
111,2020-09-21,4 day R,2020-06-25,DE,point,,0.91
112,2020-09-21,4 day R,2020-06-26,DE,point,,0.92
113,2020-09-21,4 day R,2020-06-27,DE,point,,0.95
114,2020-09-21,4 day R,2020-06-28,DE,point,,0.87
115,2020-09-21,4 day R,2020-06-29,DE,point,,0.86
116,2020-09-21,4 day R,2020-06-30,DE,point,,0.88
117,2020-09-21,4 day R,2020-07-01,DE,point,,0.96
118,2020-09-21,4 day R,2020-07-02,DE,point,,1.07
119,2020-09-21,4 day R,2020-07-03,DE,point,,1.0
120,2020-09-21,4 day R,2020-07-04,DE,point,,0.91
121,2020-09-21,4 day R,2020-07-05,DE,point,,0.81
122,2020-09-21,4 day R,2020-07-06,DE,point,,0.82
123,2020-09-21,4 day R,2020-07-07,DE,point,,0.88
124,2020-09-21,4 day R,2020-07-08,DE,point,,1.01
125,2020-09-21,4 day R,2020-07-09,DE,point,,1.16
126,2020-09-21,4 day R,2020-07-10,DE,point,,1.16
127,2020-09-21,4 day R,2020-07-11,DE,point,,1.16
128,2020-09-21,4 day R,2020-07-12,DE,point,,1.11
129,2020-09-21,4 day R,2020-07-13,DE,point,,1.17
130,2020-09-21,4 day R,2020-07-14,DE,point,,1.19
131,2020-09-21,4 day R,2020-07-15,DE,point,,1.28
132,2020-09-21,4 day R,2020-07-16,DE,point,,1.34
133,2020-09-21,4 day R,2020-07-17,DE,point,,1.21
134,2020-09-21,4 day R,2020-07-18,DE,point,,1.14
135,2020-09-21,4 day R,2020-07-19,DE,point,,1.02
136,2020-09-21,4 day R,2020-07-20,DE,point,,1.07
137,2020-09-21,4 day R,2020-07-21,DE,point,,1.14
138,2020-09-21,4 day R,2020-07-22,DE,point,,1.28
139,2020-09-21,4 day R,2020-07-23,DE,point,,1.38
140,2020-09-21,4 day R,2020-07-24,DE,point,,1.25
141,2020-09-21,4 day R,2020-07-25,DE,point,,1.14
142,2020-09-21,4 day R,2020-07-26,DE,point,,0.99
143,2020-09-21,4 day R,2020-07-27,DE,point,,0.97
144,2020-09-21,4 day R,2020-07-28,DE,point,,1.0
145,2020-09-21,4 day R,2020-07-29,DE,point,,1.07
146,2020-09-21,4 day R,2020-07-30,DE,point,,1.19
147,2020-09-21,4 day R,2020-07-31,DE,point,,1.12
148,2020-09-21,4 day R,2020-08-01,DE,point,,1.1
149,2020-09-21,4 day R,2020-08-02,DE,point,,1.11
150,2020-09-21,4 day R,2020-08-03,DE,point,,1.16
151,2020-09-21,4 day R,2020-08-04,DE,point,,1.25
152,2020-09-21,4 day R,2020-08-05,DE,point,,1.28
153,2020-09-21,4 day R,2020-08-06,DE,point,,1.25
154,2020-09-21,4 day R,2020-08-07,DE,point,,1.13
155,2020-09-21,4 day R,2020-08-08,DE,point,,1.07
156,2020-09-21,4 day R,2020-08-09,DE,point,,1.04
157,2020-09-21,4 day R,2020-08-10,DE,point,,1.11
158,2020-09-21,4 day R,2020-08-11,DE,point,,1.18
159,2020-09-21,4 day R,2020-08-12,DE,point,,1.25
160,2020-09-21,4 day R,2020-08-13,DE,point,,1.32
161,2020-09-21,4 day R,2020-08-14,DE,point,,1.18
162,2020-09-21,4 day R,2020-08-15,DE,point,,1.09
163,2020-09-21,4 day R,2020-08-16,DE,point,,1.0
164,2020-09-21,4 day R,2020-08-17,DE,point,,0.95
165,2020-09-21,4 day R,2020-08-18,DE,point,,0.99
166,2020-09-21,4 day R,2020-08-19,DE,point,,1.03
167,2020-09-21,4 day R,2020-08-20,DE,point,,1.05
168,2020-09-21,4 day R,2020-08-21,DE,point,,0.99
169,2020-09-21,4 day R,2020-08-22,DE,point,,0.9
170,2020-09-21,4 day R,2020-08-23,DE,point,,0.86
171,2020-09-21,4 day R,2020-08-24,DE,point,,0.92
172,2020-09-21,4 day R,2020-08-25,DE,point,,0.99
173,2020-09-21,4 day R,2020-08-26,DE,point,,1.09
174,2020-09-21,4 day R,2020-08-27,DE,point,,1.14
175,2020-09-21,4 day R,2020-08-28,DE,point,,1.01
176,2020-09-21,4 day R,2020-08-29,DE,point,,0.91
177,2020-09-21,4 day R,2020-08-30,DE,point,,0.85
178,2020-09-21,4 day R,2020-08-31,DE,point,,0.86
179,2020-09-21,4 day R,2020-09-01,DE,point,,0.97
180,2020-09-21,4 day R,2020-09-02,DE,point,,1.13
181,2020-09-21,4 day R,2020-09-03,DE,point,,1.23
182,2020-09-21,4 day R,2020-09-04,DE,point,,1.19
183,2020-09-21,4 day R,2020-09-05,DE,point,,1.05
184,2020-09-21,4 day R,2020-09-06,DE,point,,0.98
185,2020-09-21,4 day R,2020-09-07,DE,point,,1.0
186,2020-09-21,4 day R,2020-09-08,DE,point,,1.07
187,2020-09-21,4 day R,2020-09-09,DE,point,,1.22
188,2020-09-21,4 day R,2020-09-10,DE,point,,1.27
189,2020-09-21,4 day R,2020-09-11,DE,point,,1.2
190,2020-09-21,4 day R,2020-09-12,DE,point,,1.13
191,2020-09-21,4 day R,2020-09-13,DE,point,,1.05
192,2020-09-21,4 day R,2020-09-14,DE,point,,1.07
193,2020-09-21,4 day R,2020-09-15,DE,point,,1.11
194,2020-09-21,4 day R,2020-09-16,DE,point,,1.12
195,2020-09-21,4 day R,2020-09-17,DE,point,,1.06
196,2020-09-21,4 day R,2020-03-06,DE,quantil,0.025,2.17
197,2020-09-21,4 day R,2020-03-07,DE,quantil,0.025,2.51
198,2020-09-21,4 day R,2020-03-08,DE,quantil,0.025,2.67
199,2020-09-21,4 day R,2020-03-09,DE,quantil,0.025,3.15
200,2020-09-21,4 day R,2020-03-10,DE,quantil,0.025,3.32
201,2020-09-21,4 day R,2020-03-11,DE,quantil,0.025,3.32
202,2020-09-21,4 day R,2020-03-12,DE,quantil,0.025,3.14
203,2020-09-21,4 day R,2020-03-13,DE,quantil,0.025,2.66
204,2020-09-21,4 day R,2020-03-14,DE,quantil,0.025,2.23
205,2020-09-21,4 day R,2020-03-15,DE,quantil,0.025,1.84
206,2020-09-21,4 day R,2020-03-16,DE,quantil,0.025,1.69
207,2020-09-21,4 day R,2020-03-17,DE,quantil,0.025,1.46
208,2020-09-21,4 day R,2020-03-18,DE,quantil,0.025,1.34
209,2020-09-21,4 day R,2020-03-19,DE,quantil,0.025,1.23
210,2020-09-21,4 day R,2020-03-20,DE,quantil,0.025,1.05
211,2020-09-21,4 day R,2020-03-21,DE,quantil,0.025,0.96
212,2020-09-21,4 day R,2020-03-22,DE,quantil,0.025,0.86
213,2020-09-21,4 day R,2020-03-23,DE,quantil,0.025,0.87
214,2020-09-21,4 day R,2020-03-24,DE,quantil,0.025,0.84
215,2020-09-21,4 day R,2020-03-25,DE,quantil,0.025,0.87
216,2020-09-21,4 day R,2020-03-26,DE,quantil,0.025,0.95
217,2020-09-21,4 day R,2020-03-27,DE,quantil,0.025,0.88
218,2020-09-21,4 day R,2020-03-28,DE,quantil,0.025,0.93
219,2020-09-21,4 day R,2020-03-29,DE,quantil,0.025,0.87
220,2020-09-21,4 day R,2020-03-30,DE,quantil,0.025,0.88
221,2020-09-21,4 day R,2020-03-31,DE,quantil,0.025,0.9
222,2020-09-21,4 day R,2020-04-01,DE,quantil,0.025,0.92
223,2020-09-21,4 day R,2020-04-02,DE,quantil,0.025,1.02
224,2020-09-21,4 day R,2020-04-03,DE,quantil,0.025,0.95
225,2020-09-21,4 day R,2020-04-04,DE,quantil,0.025,0.95
226,2020-09-21,4 day R,2020-04-05,DE,quantil,0.025,0.85
227,2020-09-21,4 day R,2020-04-06,DE,quantil,0.025,0.8
228,2020-09-21,4 day R,2020-04-07,DE,quantil,0.025,0.79
229,2020-09-21,4 day R,2020-04-08,DE,quantil,0.025,0.82
230,2020-09-21,4 day R,2020-04-09,DE,quantil,0.025,0.9
231,2020-09-21,4 day R,2020-04-10,DE,quantil,0.025,0.85
232,2020-09-21,4 day R,2020-04-11,DE,quantil,0.025,0.81
233,2020-09-21,4 day R,2020-04-12,DE,quantil,0.025,0.74
234,2020-09-21,4 day R,2020-04-13,DE,quantil,0.025,0.67
235,2020-09-21,4 day R,2020-04-14,DE,quantil,0.025,0.7
236,2020-09-21,4 day R,2020-04-15,DE,quantil,0.025,0.77
237,2020-09-21,4 day R,2020-04-16,DE,quantil,0.025,0.82
238,2020-09-21,4 day R,2020-04-17,DE,quantil,0.025,0.87
239,2020-09-21,4 day R,2020-04-18,DE,quantil,0.025,0.85
240,2020-09-21,4 day R,2020-04-19,DE,quantil,0.025,0.78
241,2020-09-21,4 day R,2020-04-20,DE,quantil,0.025,0.78
242,2020-09-21,4 day R,2020-04-21,DE,quantil,0.025,0.76
243,2020-09-21,4 day R,2020-04-22,DE,quantil,0.025,0.8
244,2020-09-21,4 day R,2020-04-23,DE,quantil,0.025,0.88
245,2020-09-21,4 day R,2020-04-24,DE,quantil,0.025,0.83
246,2020-09-21,4 day R,2020-04-25,DE,quantil,0.025,0.82
247,2020-09-21,4 day R,2020-04-26,DE,quantil,0.025,0.76
248,2020-09-21,4 day R,2020-04-27,DE,quantil,0.025,0.74
249,2020-09-21,4 day R,2020-04-28,DE,quantil,0.025,0.76
250,2020-09-21,4 day R,2020-04-29,DE,quantil,0.025,0.79
251,2020-09-21,4 day R,2020-04-30,DE,quantil,0.025,0.87
252,2020-09-21,4 day R,2020-05-01,DE,quantil,0.025,0.83
253,2020-09-21,4 day R,2020-05-02,DE,quantil,0.025,0.82
254,2020-09-21,4 day R,2020-05-03,DE,quantil,0.025,0.83
255,2020-09-21,4 day R,2020-05-04,DE,quantil,0.025,0.81
256,2020-09-21,4 day R,2020-05-05,DE,quantil,0.025,0.87
257,2020-09-21,4 day R,2020-05-06,DE,quantil,0.025,0.93
258,2020-09-21,4 day R,2020-05-07,DE,quantil,0.025,0.94
259,2020-09-21,4 day R,2020-05-08,DE,quantil,0.025,0.89
260,2020-09-21,4 day R,2020-05-09,DE,quantil,0.025,0.82
261,2020-09-21,4 day R,2020-05-10,DE,quantil,0.025,0.76
262,2020-09-21,4 day R,2020-05-11,DE,quantil,0.025,0.77
263,2020-09-21,4 day R,2020-05-12,DE,quantil,0.025,0.8
264,2020-09-21,4 day R,2020-05-13,DE,quantil,0.025,0.87
265,2020-09-21,4 day R,2020-05-14,DE,quantil,0.025,0.92
266,2020-09-21,4 day R,2020-05-15,DE,quantil,0.025,0.94
267,2020-09-21,4 day R,2020-05-16,DE,quantil,0.025,0.93
268,2020-09-21,4 day R,2020-05-17,DE,quantil,0.025,0.88
269,2020-09-21,4 day R,2020-05-18,DE,quantil,0.025,0.93
270,2020-09-21,4 day R,2020-05-19,DE,quantil,0.025,0.84
271,2020-09-21,4 day R,2020-05-20,DE,quantil,0.025,0.86
272,2020-09-21,4 day R,2020-05-21,DE,quantil,0.025,0.89
273,2020-09-21,4 day R,2020-05-22,DE,quantil,0.025,0.75
274,2020-09-21,4 day R,2020-05-23,DE,quantil,0.025,0.78
275,2020-09-21,4 day R,2020-05-24,DE,quantil,0.025,0.69
276,2020-09-21,4 day R,2020-05-25,DE,quantil,0.025,0.75
277,2020-09-21,4 day R,2020-05-26,DE,quantil,0.025,0.87
278,2020-09-21,4 day R,2020-05-27,DE,quantil,0.025,0.96
279,2020-09-21,4 day R,2020-05-28,DE,quantil,0.025,1.1
280,2020-09-21,4 day R,2020-05-29,DE,quantil,0.025,0.97
281,2020-09-21,4 day R,2020-05-30,DE,quantil,0.025,0.86
282,2020-09-21,4 day R,2020-05-31,DE,quantil,0.025,0.71
283,2020-09-21,4 day R,2020-06-01,DE,quantil,0.025,0.68
284,2020-09-21,4 day R,2020-06-02,DE,quantil,0.025,0.79
285,2020-09-21,4 day R,2020-06-03,DE,quantil,0.025,0.93
286,2020-09-21,4 day R,2020-06-04,DE,quantil,0.025,1.11
287,2020-09-21,4 day R,2020-06-05,DE,quantil,0.025,1.16
288,2020-09-21,4 day R,2020-06-06,DE,quantil,0.025,0.98
289,2020-09-21,4 day R,2020-06-07,DE,quantil,0.025,0.79
290,2020-09-21,4 day R,2020-06-08,DE,quantil,0.025,0.81
291,2020-09-21,4 day R,2020-06-09,DE,quantil,0.025,0.88
292,2020-09-21,4 day R,2020-06-10,DE,quantil,0.025,1.08
293,2020-09-21,4 day R,2020-06-11,DE,quantil,0.025,1.32
294,2020-09-21,4 day R,2020-06-12,DE,quantil,0.025,1.22
295,2020-09-21,4 day R,2020-06-13,DE,quantil,0.025,1.04
296,2020-09-21,4 day R,2020-06-14,DE,quantil,0.025,0.9
297,2020-09-21,4 day R,2020-06-15,DE,quantil,0.025,1.0
298,2020-09-21,4 day R,2020-06-16,DE,quantil,0.025,1.47
299,2020-09-21,4 day R,2020-06-17,DE,quantil,0.025,1.73
300,2020-09-21,4 day R,2020-06-18,DE,quantil,0.025,1.94
301,2020-09-21,4 day R,2020-06-19,DE,quantil,0.025,1.6
302,2020-09-21,4 day R,2020-06-20,DE,quantil,0.025,0.87
303,2020-09-21,4 day R,2020-06-21,DE,quantil,0.025,0.68
304,2020-09-21,4 day R,2020-06-22,DE,quantil,0.025,0.61
305,2020-09-21,4 day R,2020-06-23,DE,quantil,0.025,0.58
306,2020-09-21,4 day R,2020-06-24,DE,quantil,0.025,0.74
307,2020-09-21,4 day R,2020-06-25,DE,quantil,0.025,0.88
308,2020-09-21,4 day R,2020-06-26,DE,quantil,0.025,0.88
309,2020-09-21,4 day R,2020-06-27,DE,quantil,0.025,0.91
310,2020-09-21,4 day R,2020-06-28,DE,quantil,0.025,0.83
311,2020-09-21,4 day R,2020-06-29,DE,quantil,0.025,0.82
312,2020-09-21,4 day R,2020-06-30,DE,quantil,0.025,0.85
313,2020-09-21,4 day R,2020-07-01,DE,quantil,0.025,0.92
314,2020-09-21,4 day R,2020-07-02,DE,quantil,0.025,1.01
315,2020-09-21,4 day R,2020-07-03,DE,quantil,0.025,0.95
316,2020-09-21,4 day R,2020-07-04,DE,quantil,0.025,0.87
317,2020-09-21,4 day R,2020-07-05,DE,quantil,0.025,0.77
318,2020-09-21,4 day R,2020-07-06,DE,quantil,0.025,0.78
319,2020-09-21,4 day R,2020-07-07,DE,quantil,0.025,0.83
320,2020-09-21,4 day R,2020-07-08,DE,quantil,0.025,0.96
321,2020-09-21,4 day R,2020-07-09,DE,quantil,0.025,1.1
322,2020-09-21,4 day R,2020-07-10,DE,quantil,0.025,1.11
323,2020-09-21,4 day R,2020-07-11,DE,quantil,0.025,1.1
324,2020-09-21,4 day R,2020-07-12,DE,quantil,0.025,1.05
325,2020-09-21,4 day R,2020-07-13,DE,quantil,0.025,1.11
326,2020-09-21,4 day R,2020-07-14,DE,quantil,0.025,1.14
327,2020-09-21,4 day R,2020-07-15,DE,quantil,0.025,1.22
328,2020-09-21,4 day R,2020-07-16,DE,quantil,0.025,1.28
329,2020-09-21,4 day R,2020-07-17,DE,quantil,0.025,1.16
330,2020-09-21,4 day R,2020-07-18,DE,quantil,0.025,1.09
331,2020-09-21,4 day R,2020-07-19,DE,quantil,0.025,0.98
332,2020-09-21,4 day R,2020-07-20,DE,quantil,0.025,1.03
333,2020-09-21,4 day R,2020-07-21,DE,quantil,0.025,1.1
334,2020-09-21,4 day R,2020-07-22,DE,quantil,0.025,1.23
335,2020-09-21,4 day R,2020-07-23,DE,quantil,0.025,1.34
336,2020-09-21,4 day R,2020-07-24,DE,quantil,0.025,1.22
337,2020-09-21,4 day R,2020-07-25,DE,quantil,0.025,1.11
338,2020-09-21,4 day R,2020-07-26,DE,quantil,0.025,0.95
339,2020-09-21,4 day R,2020-07-27,DE,quantil,0.025,0.95
340,2020-09-21,4 day R,2020-07-28,DE,quantil,0.025,0.97
341,2020-09-21,4 day R,2020-07-29,DE,quantil,0.025,1.04
342,2020-09-21,4 day R,2020-07-30,DE,quantil,0.025,1.15
343,2020-09-21,4 day R,2020-07-31,DE,quantil,0.025,1.08
344,2020-09-21,4 day R,2020-08-01,DE,quantil,0.025,1.07
345,2020-09-21,4 day R,2020-08-02,DE,quantil,0.025,1.08
346,2020-09-21,4 day R,2020-08-03,DE,quantil,0.025,1.13
347,2020-09-21,4 day R,2020-08-04,DE,quantil,0.025,1.21
348,2020-09-21,4 day R,2020-08-05,DE,quantil,0.025,1.25
349,2020-09-21,4 day R,2020-08-06,DE,quantil,0.025,1.21
350,2020-09-21,4 day R,2020-08-07,DE,quantil,0.025,1.08
351,2020-09-21,4 day R,2020-08-08,DE,quantil,0.025,1.04
352,2020-09-21,4 day R,2020-08-09,DE,quantil,0.025,1.0
353,2020-09-21,4 day R,2020-08-10,DE,quantil,0.025,1.07
354,2020-09-21,4 day R,2020-08-11,DE,quantil,0.025,1.15
355,2020-09-21,4 day R,2020-08-12,DE,quantil,0.025,1.21
356,2020-09-21,4 day R,2020-08-13,DE,quantil,0.025,1.28
357,2020-09-21,4 day R,2020-08-14,DE,quantil,0.025,1.15
358,2020-09-21,4 day R,2020-08-15,DE,quantil,0.025,1.07
359,2020-09-21,4 day R,2020-08-16,DE,quantil,0.025,0.97
360,2020-09-21,4 day R,2020-08-17,DE,quantil,0.025,0.92
361,2020-09-21,4 day R,2020-08-18,DE,quantil,0.025,0.97
362,2020-09-21,4 day R,2020-08-19,DE,quantil,0.025,1.0
363,2020-09-21,4 day R,2020-08-20,DE,quantil,0.025,1.02
364,2020-09-21,4 day R,2020-08-21,DE,quantil,0.025,0.97
365,2020-09-21,4 day R,2020-08-22,DE,quantil,0.025,0.87
366,2020-09-21,4 day R,2020-08-23,DE,quantil,0.025,0.84
367,2020-09-21,4 day R,2020-08-24,DE,quantil,0.025,0.89
368,2020-09-21,4 day R,2020-08-25,DE,quantil,0.025,0.97
369,2020-09-21,4 day R,2020-08-26,DE,quantil,0.025,1.06
370,2020-09-21,4 day R,2020-08-27,DE,quantil,0.025,1.11
371,2020-09-21,4 day R,2020-08-28,DE,quantil,0.025,0.98
372,2020-09-21,4 day R,2020-08-29,DE,quantil,0.025,0.88
373,2020-09-21,4 day R,2020-08-30,DE,quantil,0.025,0.83
374,2020-09-21,4 day R,2020-08-31,DE,quantil,0.025,0.83
375,2020-09-21,4 day R,2020-09-01,DE,quantil,0.025,0.94
376,2020-09-21,4 day R,2020-09-02,DE,quantil,0.025,1.09
377,2020-09-21,4 day R,2020-09-03,DE,quantil,0.025,1.2
378,2020-09-21,4 day R,2020-09-04,DE,quantil,0.025,1.15
379,2020-09-21,4 day R,2020-09-05,DE,quantil,0.025,1.01
380,2020-09-21,4 day R,2020-09-06,DE,quantil,0.025,0.94
381,2020-09-21,4 day R,2020-09-07,DE,quantil,0.025,0.96
382,2020-09-21,4 day R,2020-09-08,DE,quantil,0.025,1.03
383,2020-09-21,4 day R,2020-09-09,DE,quantil,0.025,1.15
384,2020-09-21,4 day R,2020-09-10,DE,quantil,0.025,1.19
385,2020-09-21,4 day R,2020-09-11,DE,quantil,0.025,1.12
386,2020-09-21,4 day R,2020-09-12,DE,quantil,0.025,1.04
387,2020-09-21,4 day R,2020-09-13,DE,quantil,0.025,0.96
388,2020-09-21,4 day R,2020-09-14,DE,quantil,0.025,0.92
389,2020-09-21,4 day R,2020-09-15,DE,quantil,0.025,0.95
390,2020-09-21,4 day R,2020-09-16,DE,quantil,0.025,0.95
391,2020-09-21,4 day R,2020-09-17,DE,quantil,0.025,0.88
392,2020-09-21,4 day R,2020-03-06,DE,quantil,0.975,2.35
393,2020-09-21,4 day R,2020-03-07,DE,quantil,0.975,2.67
394,2020-09-21,4 day R,2020-03-08,DE,quantil,0.975,2.83
395,2020-09-21,4 day R,2020-03-09,DE,quantil,0.975,3.3
396,2020-09-21,4 day R,2020-03-10,DE,quantil,0.975,3.49
397,2020-09-21,4 day R,2020-03-11,DE,quantil,0.975,3.46
398,2020-09-21,4 day R,2020-03-12,DE,quantil,0.975,3.25
399,2020-09-21,4 day R,2020-03-13,DE,quantil,0.975,2.74
400,2020-09-21,4 day R,2020-03-14,DE,quantil,0.975,2.29
401,2020-09-21,4 day R,2020-03-15,DE,quantil,0.975,1.89
402,2020-09-21,4 day R,2020-03-16,DE,quantil,0.975,1.72
403,2020-09-21,4 day R,2020-03-17,DE,quantil,0.975,1.49
404,2020-09-21,4 day R,2020-03-18,DE,quantil,0.975,1.37
405,2020-09-21,4 day R,2020-03-19,DE,quantil,0.975,1.26
406,2020-09-21,4 day R,2020-03-20,DE,quantil,0.975,1.06
407,2020-09-21,4 day R,2020-03-21,DE,quantil,0.975,0.98
408,2020-09-21,4 day R,2020-03-22,DE,quantil,0.975,0.87
409,2020-09-21,4 day R,2020-03-23,DE,quantil,0.975,0.89
410,2020-09-21,4 day R,2020-03-24,DE,quantil,0.975,0.86
411,2020-09-21,4 day R,2020-03-25,DE,quantil,0.975,0.89
412,2020-09-21,4 day R,2020-03-26,DE,quantil,0.975,0.97
413,2020-09-21,4 day R,2020-03-27,DE,quantil,0.975,0.9
