country,date,type,median,lower_90,upper_90,lower_50,upper_50
Germany,2020-07-15,estimate,1.23,1.1,1.39,1.15,1.26
Germany,2020-07-16,estimate,1.23,1.09,1.38,1.16,1.28
Germany,2020-07-17,estimate,1.22,1.08,1.37,1.16,1.27
Germany,2020-07-18,estimate,1.22,1.09,1.37,1.16,1.27
Germany,2020-07-19,estimate,1.2,1.07,1.34,1.14,1.25
Germany,2020-07-20,estimate,1.19,1.05,1.32,1.14,1.25
Germany,2020-07-21,estimate,1.18,1.04,1.3,1.12,1.22
Germany,2020-07-22,estimate based on partial data,1.16,1.03,1.3,1.12,1.22
Germany,2020-07-23,estimate based on partial data,1.15,1.01,1.28,1.09,1.2
Germany,2020-07-24,estimate based on partial data,1.13,0.98,1.27,1.07,1.19
Germany,2020-07-25,estimate based on partial data,1.11,0.94,1.28,1.04,1.18
Germany,2020-07-26,estimate based on partial data,1.1,0.91,1.29,1.02,1.18
Germany,2020-07-27,estimate based on partial data,1.09,0.88,1.31,1.02,1.2
Germany,2020-07-28,estimate based on partial data,1.08,0.81,1.3,1.0,1.2
Germany,2020-07-29,estimate based on partial data,1.07,0.78,1.35,0.95,1.18
Germany,2020-07-30,estimate based on partial data,1.07,0.73,1.39,0.91,1.17
Germany,2020-07-31,estimate based on partial data,1.06,0.68,1.43,0.9,1.2
Germany,2020-08-01,estimate based on partial data,1.06,0.64,1.49,0.89,1.22
Germany,2020-08-02,estimate based on partial data,1.05,0.59,1.53,0.83,1.2
Germany,2020-08-03,estimate based on partial data,1.06,0.53,1.58,0.8,1.2
Germany,2020-08-04,forecast,1.06,0.49,1.66,0.79,1.23
Germany,2020-08-05,forecast,1.06,0.5,1.79,0.81,1.28
Germany,2020-08-06,forecast,1.06,0.4,1.8,0.79,1.3
Germany,2020-08-07,forecast,1.06,0.35,1.84,0.74,1.27
Germany,2020-08-08,forecast,1.06,0.34,1.93,0.64,1.2
Germany,2020-08-09,forecast,1.06,0.27,1.95,0.65,1.25
Germany,2020-08-10,forecast,1.07,0.26,2.04,0.65,1.27
Germany,2020-08-11,forecast,1.07,0.23,2.09,0.61,1.26
Germany,2020-08-12,forecast,1.07,0.26,2.22,0.61,1.29
Germany,2020-08-13,forecast,1.07,0.23,2.28,0.62,1.32
Germany,2020-08-14,forecast,1.07,0.21,2.32,0.56,1.28
Germany,2020-08-15,forecast,1.07,0.13,2.32,0.59,1.33
Germany,2020-08-16,forecast,1.07,0.12,2.36,0.56,1.32
Germany,2020-08-17,forecast,1.06,0.11,2.41,0.5,1.27
Switzerland,2020-06-22,estimate,1.26,1.16,1.37,1.21,1.29
Switzerland,2020-06-23,estimate,1.25,1.15,1.37,1.21,1.28
Switzerland,2020-06-24,estimate,1.24,1.14,1.36,1.2,1.28
Switzerland,2020-06-25,estimate,1.23,1.14,1.35,1.19,1.27
Switzerland,2020-06-26,estimate,1.22,1.13,1.34,1.18,1.25
Switzerland,2020-06-27,estimate,1.21,1.11,1.32,1.18,1.25
Switzerland,2020-06-28,estimate,1.2,1.1,1.31,1.16,1.23
Switzerland,2020-06-29,estimate,1.19,1.07,1.28,1.15,1.22
Switzerland,2020-06-30,estimate,1.18,1.06,1.27,1.15,1.22
Switzerland,2020-07-01,estimate,1.17,1.06,1.26,1.14,1.21
Switzerland,2020-07-02,estimate,1.15,1.05,1.26,1.12,1.19
Switzerland,2020-07-03,estimate,1.14,1.04,1.24,1.11,1.18
Switzerland,2020-07-04,estimate,1.13,1.04,1.24,1.1,1.18
Switzerland,2020-07-05,estimate,1.12,1.02,1.22,1.08,1.16
Switzerland,2020-07-06,estimate,1.11,1.02,1.22,1.08,1.15
Switzerland,2020-07-07,estimate,1.1,1.0,1.2,1.07,1.15
Switzerland,2020-07-08,estimate,1.1,0.98,1.19,1.06,1.14
Switzerland,2020-07-09,estimate,1.09,0.98,1.19,1.06,1.14
Switzerland,2020-07-10,estimate,1.09,0.97,1.18,1.05,1.13
Switzerland,2020-07-11,estimate,1.08,0.96,1.17,1.05,1.14
Switzerland,2020-07-12,estimate,1.08,0.98,1.19,1.06,1.14
Switzerland,2020-07-13,estimate,1.08,0.97,1.19,1.06,1.14
Switzerland,2020-07-14,estimate,1.08,0.98,1.19,1.05,1.13
Switzerland,2020-07-15,estimate,1.08,0.97,1.19,1.05,1.13
Switzerland,2020-07-16,estimate,1.09,0.98,1.19,1.05,1.13
Switzerland,2020-07-17,estimate,1.09,0.98,1.2,1.05,1.13
Switzerland,2020-07-18,estimate,1.09,0.98,1.2,1.05,1.13
Switzerland,2020-07-19,estimate,1.09,0.98,1.2,1.05,1.14
Switzerland,2020-07-20,estimate,1.09,0.97,1.21,1.04,1.13
Switzerland,2020-07-21,estimate,1.1,0.97,1.22,1.05,1.14
Switzerland,2020-07-22,estimate based on partial data,1.1,0.97,1.23,1.05,1.15
Switzerland,2020-07-23,estimate based on partial data,1.1,0.95,1.24,1.04,1.15
Switzerland,2020-07-24,estimate based on partial data,1.1,0.95,1.27,1.04,1.15
Switzerland,2020-07-25,estimate based on partial data,1.1,0.93,1.28,1.04,1.16
Switzerland,2020-07-26,estimate based on partial data,1.1,0.93,1.3,1.05,1.18
Switzerland,2020-07-27,estimate based on partial data,1.1,0.91,1.31,1.03,1.17
Switzerland,2020-07-28,estimate based on partial data,1.1,0.89,1.33,1.03,1.18
Switzerland,2020-07-29,estimate based on partial data,1.11,0.87,1.34,1.02,1.18
Switzerland,2020-07-30,estimate based on partial data,1.11,0.86,1.37,1.01,1.18
Switzerland,2020-07-31,estimate based on partial data,1.11,0.86,1.4,1.02,1.2
Switzerland,2020-08-01,estimate based on partial data,1.11,0.81,1.39,1.01,1.19
Switzerland,2020-08-02,estimate based on partial data,1.11,0.79,1.41,1.01,1.2
Switzerland,2020-08-03,estimate based on partial data,1.11,0.8,1.45,1.01,1.21
Switzerland,2020-08-04,forecast,1.1,0.76,1.44,1.0,1.2
Switzerland,2020-08-05,forecast,1.1,0.76,1.47,0.98,1.19
Switzerland,2020-08-06,forecast,1.1,0.76,1.49,0.99,1.2
Switzerland,2020-08-07,forecast,1.1,0.73,1.5,0.98,1.21
Switzerland,2020-08-08,forecast,1.1,0.71,1.52,0.99,1.23
Switzerland,2020-08-09,forecast,1.1,0.68,1.52,0.99,1.22
Switzerland,2020-08-10,forecast,1.1,0.68,1.56,0.99,1.23
Switzerland,2020-08-11,forecast,1.1,0.68,1.59,0.95,1.2
Switzerland,2020-08-12,forecast,1.1,0.67,1.6,0.96,1.22
Switzerland,2020-08-13,forecast,1.1,0.63,1.58,0.96,1.22
Switzerland,2020-08-14,forecast,1.1,0.59,1.58,0.97,1.24
Switzerland,2020-08-15,forecast,1.1,0.59,1.6,0.94,1.22
Switzerland,2020-08-16,forecast,1.1,0.58,1.62,0.93,1.21
Switzerland,2020-08-17,forecast,1.1,0.6,1.68,0.94,1.23
